K,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
1,0,0,0,0,0,0,0,0,0,0
2,-0.1021,-0.3169,-0.2213,-0.029,-0.1689,-0.0583,-0.1698,-0.1080,-0.0014,-0.0729
3,-0.1875,-0.4564,-0.293,-0.0256,-0.218,-0.1854,-0.2162,-0.1374,-0.0788,-0.0778
4,-0.159,-0.4948,-0.32,-0.0605,-0.2221,0.0051,-0.0951,-0.0586,-0.0374,0.1637
5,-0.1429,-0.4824,-0.3143,0.1154,-0.2332,-0.1277,-0.2211,-0.1016,-0.0753,-0.1000
6,-0.1654,-0.4997,-0.2907,-0.0658,-0.2618,-0.0898,-0.2121,-0.1177,-0.0907,-0.0541
7,-0.1418,-0.5045,-0.2958,0.0066,-0.1903,-0.0222,-0.0629,-0.1127,-0.0730,-0.0802
8,-0.0961,-0.4966,-0.3217,0.0029,-0.2197,0.0641,-0.0404,-0.0492,-0.0199,0.6181
9,-0.0963,-0.4639,-0.2636,0.1853,0.0477,-0.0491,-0.1607,-0.1145,-0.0467,0.1309
10,-0.0847,-0.4564,-0.2398,0.2848,-0.0359,-0.0254,-0.1173,-0.0848,0.0193,-0.0569
