K,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
1,0,0,0,0,0,0,0,0,0,0
2,-0.2262,-0.1606,-0.2145,0.2435,-0.0256,-0.1653,-0.0960,-0.0218,-0.1171,0.0198
3,-0.4165,-0.2811,0.04,-0.0716,-0.1878,-0.0825,-0.1343,0.0916,-0.1735,-0.0033
4,-0.3901,-0.3173,0.091,-0.0749,-0.1878,-0.1108,-0.0954,0.1205,-0.1728,-0.0261
5,-0.4277,-0.2997,0.2881,-0.0638,-0.2237,-0.1482,-0.1566,0.1761,-0.2288,-0.0203
6,-0.4456,-0.2694,0.278,-0.0732,-0.2662,-0.1248,-0.2093,0.0838,-0.2812,-0.0006
7,-0.4264,-0.2388,0.8237,-0.1127,-0.196,-0.1996,-0.1912,0.2146,-0.2751,0.0560
8,-0.4405,-0.2792,0.0493,-0.1433,-0.1485,-0.0600,0.1023,0.2015,-0.0625,0.0086
9,-0.4117,-0.2636,0.193,-0.0885,-0.1733,-0.1334,-0.1624,0.1228,-0.2624,0.0386
10,-0.3359,-0.139,0.4169,0.0335,-0.2713,-0.1094,-0.1254,0.2046,-0.2475,0.0210
