K,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
1,0,0,0,0,0,0,0,0,0,0
2,-0.5791,-0.5138,-0.3382,-0.88,-0.6385,-0.0904,-0.1239,-0.6091,-0.7102,-0.3264
3,-0.6455,-0.5942,-0.4538,-0.904,-0.702,-0.2432,-0.2063,-0.6368,-0.7333,-0.4026
4,-0.6787,-0.6025,-0.489,-0.8957,-0.7247,-0.2954,-0.1366,-0.6609,-0.7199,-0.4406
5,-0.6758,-0.6301,-0.5052,-0.9125,-0.7269,-0.3297,-0.2986,-0.6968,-0.7577,-0.4602
6,-0.6869,-0.6327,-0.5409,-0.911,-0.7339,-0.3792,-0.2900,-0.7097,-0.7480,-0.4506
7,-0.6791,-0.6085,-0.5081,-0.9134,-0.7486,-0.3833,-0.2054,-0.6815,-0.7623,-0.4834
8,-0.6751,-0.639,-0.5153,-0.9181,-0.7442,-0.2729,-0.1115,-0.5951,-0.7181,-0.3745
9,-0.6489,-0.6333,-0.5026,-0.9014,-0.7505,-0.3374,-0.2571,-0.6777,-0.7457,-0.4542
10,-0.6553,-0.5759,-0.5124,-0.8963,-0.7038,-0.3231,-0.2418,-0.6895,-0.7380,-0.4286
