K,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
1,0,0,0,0,0,0,0,0,0,0
2,-0.9025,-0.6494,-0.9548,-0.8987,-0.8561,-0.9074,-0.4000,-0.4468,-0.0974,-0.1593
3,-0.9418,-0.8087,-0.9482,-0.9311,-0.9503,-0.9536,-0.5432,-0.5740,-0.0696,-0.2256
4,-0.9448,-0.7894,-0.9638,-0.9449,-0.9494,-0.9412,-0.4851,-0.6441,-0.2482,-0.2883
5,-0.955,-0.8028,-0.9685,-0.9397,-0.9578,-0.9567,-0.5704,-0.6651,-0.3621,-0.3907
6,-0.9471,-0.8139,-0.9721,-0.9524,-0.9655,-0.9605,-0.5899,-0.6869,-0.3584,-0.4172
7,-0.9566,-0.8285,-0.9712,-0.9416,-0.9645,-0.9611,-0.6073,-0.6940,-0.4284,-0.4840
8,-0.9572,-0.8142,-0.9695,-0.9455,-0.9645,-0.9628,-0.6066,-0.7059,-0.3996,-0.4062
9,-0.9487,-0.8319,-0.9714,-0.9464,-0.9678,-0.9629,-0.5709,-0.7060,-0.4030,-0.4429
10,-0.9538,-0.829,-0.974,-0.9495,-0.97,-0.9605,-0.6033,-0.7006,-0.4506,-0.4320
