K,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
1,0,0,0,0,0,0,0,0,0,0
2,-0.1229,0.432,-0.4825,-0.4886,-0.317,-0.0794,-0.4400,-0.0031,0.0000,-0.0251
3,-0.0606,-0.256,-0.5067,-0.6428,-0.3655,-0.0599,-0.6021,-0.0281,-0.2773,-0.0446
4,-0.0777,-0.3744,-0.4934,-0.6784,-0.2526,-0.0804,-0.5978,-0.0179,-0.0186,-0.0596
5,-0.1123,-0.4936,-0.5278,-0.6969,-0.3322,-0.0919,-0.6217,-0.0315,-0.3962,-0.0373
6,-0.1179,-0.4883,-0.5447,-0.7076,-0.3941,-0.0747,-0.6202,-0.0333,-0.3582,-0.0687
7,-0.1397,-0.4964,-0.5391,-0.697,-0.3984,-0.0728,-0.6439,-0.0356,-0.3405,-0.0661
8,-0.1336,-0.4725,-0.5186,-0.7084,-0.3753,-0.0887,-0.6428,-0.0220,-0.3777,-0.0918
9,-0.1399,-0.5442,-0.5518,-0.7421,-0.3979,-0.0872,-0.6408,-0.0321,-0.4281,-0.0565
10,-0.1311,-0.5226,-0.5441,-0.7309,-0.4068,-0.1052,-0.6194,-0.0308,-0.3276,-0.0794
